ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N3810795381;3119079;2015-10-31T05:16:15Z;true;1;34985308;29.7143826;-95.3484016;[]
N3810795380;3119079;2015-10-31T05:16:15Z;true;1;34985308;29.7143607;-95.3483267;[]
N3683338727;3119079;2015-08-06T06:24:02Z;true;1;33146410;29.7139918;-95.3511436;[]
N3810795383;3119079;2015-10-31T05:16:15Z;true;1;34985308;29.7144634;-95.3483703;[]
N3810795382;3119079;2015-10-31T05:16:15Z;true;1;34985308;29.7144416;-95.3482954;[]
N3721872603;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233213;-95.3427726;[]
N3475386518;496606;2015-04-24T19:18:22Z;true;1;30461027;29.7236256;-95.3494752;[]
N3721872602;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233213;-95.3427726;[]
N3475386519;496606;2015-04-24T19:18:22Z;true;1;30461027;29.7222656;-95.3505652;[]
N3721872601;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233213;-95.3427726;[]
N3721872600;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233213;-95.3427726;[]
N3475386511;496606;2015-04-24T19:18:21Z;true;1;30461027;29.7203486;-95.3505411;[]
N3683338721;3119079;2015-08-06T06:24:02Z;true;1;33146410;29.7139761;-95.3526953;[]
N3721872609;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233246;-95.3425503;[]
N3475386512;496606;2015-04-24T19:18:21Z;true;1;30461027;29.721045;-95.3515923;[]
N3683338720;3119079;2015-08-06T06:24:02Z;true;1;33146410;29.7139731;-95.3512019;[]
N3721872608;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233223;-95.342776;[]
N3475386513;496606;2015-04-24T19:18:21Z;true;1;30461027;29.7207315;-95.3517241;[]
N3721872607;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233223;-95.3427759;[]
N3475386514;496606;2015-04-24T19:18:21Z;true;1;30461027;29.7229033;-95.3496068;[]
N3721872606;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233223;-95.3427759;[]
N3475386515;3119079;2015-08-10T21:55:48Z;true;2;33253947;29.722533;-95.3471388;[]
N3683338725;3119079;2015-08-06T06:24:02Z;true;1;33146410;29.7139871;-95.3517704;[]
N3721872605;3119079;2015-08-30T18:15:56Z;true;1;33688006;29.7233222;-95.3427758;[]
N3475386516;496606;2015-04-24T19:18:21Z;true;1;30461027;29.7204713;-95.3501018;[]
